year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Object-oriented Software Development I,193566,7 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Software Analysis,193567,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '85,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '15,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '15,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '85,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Databases,193568,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '55,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '15,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",IT Fundamentals,193569,5 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Computer Systems,193570,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Cybersecurity,193571,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Web Development I,193572,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Web Development II,193573,5 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Communication Lab,193574,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Mondeling examen', 'percentage': '20,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '20,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1', 'Micro credential Network Administrator - Campus Gent']",Computer Networks I,193575,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Operating Systems,193576,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '90,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '10,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '10,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '90,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Business & Management,193577,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '40,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Software Development Project I,193578,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Andere', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",System Engineering Lab,193579,4 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 1']",Object-oriented Software Development II,193580,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Functional Analysis,193581,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '30,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Ontwerp', 'percentage': '30,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Relational Databases & Datawarehousing,193582,4 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '40,00'}, {'moment': 'Binnen en buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '40,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}]]",wel mogelijk.
2025-26,"['Bachelor in de toegepaste informatica, trajectschijf 2']",Classic Computer Science Algorithms,193583,5 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '20,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '10,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '70,00'}, {'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '30,00'}]]",wel mogelijk.
