year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['IC Education, trajectschijf 3', 'IC Nursing (niet in 2025-26)', 'IC Nutrition and Dietetics (niet in 2025-26)', 'IC Occupational Therapy']",Interprofessional collaboration,189483,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC AgroFood Sustainability', 'IC Audiology', 'IC Business, Retail and Languages', 'IC Chemistry, Biotechnology and Environmental Technology', 'IC Education, trajectschijf 3', 'IC Fashion & Textile Technology, trajectschijf 1', 'IC IT', 'IC Nursing (niet in 2025-26)', 'IC Nutrition and Dietetics (niet in 2025-26)', 'IC Occupational Therapy', 'IC Speech and Language Pathology', 'IC Sports program', 'IC Wood Technology']",Survival Dutch,189484,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Education, trajectschijf 3']",Freinet methodology,189485,6 studiepunten,"[[{'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}], [{'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Education, trajectschijf 3']",Study visits: innovational education,189486,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Education, trajectschijf 3']",Socially engaged teacher,189487,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Portfolio', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Education, trajectschijf 3']",Cross-curricular and project-based teaching,189488,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Observatie van functioneren van de student', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Ontwerp', 'percentage': '40,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Nutrition and Dietetics (niet in 2025-26), trajectschijf 3']",Practice placement: exploring the field,189489,3 studiepunten,,
2025-26,"['IC Nutrition and Dietetics (niet in 2025-26), trajectschijf 3']","Public health care, international and intercultural orientation in nutrition and dietetics",189490,3 studiepunten,,
2025-26,"['IC Nutrition and Dietetics (niet in 2025-26), trajectschijf 3']",Dietetic and community based intervention,189491,3 studiepunten,,
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3', 'IC Nutrition and Dietetics (niet in 2025-26)']",Alternative medicine,189492,3 studiepunten,,
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3', 'IC Nutrition and Dietetics (niet in 2025-26)']",International and intercultural focus in health care,189493,3 studiepunten,,
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3']",Diversity and international focus in health care,189494,3 studiepunten,,
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3']",Internship - nursing 1,189495,9 studiepunten,,
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3']",Internship - nursing 2,189496,12 studiepunten,,
2025-26,"['IC Audiology', 'IC Nursing (niet in 2025-26), trajectschijf 3', 'IC Speech and Language Pathology']",Innovation in health and social Care,189497,3 studiepunten,"[[{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}], [{'moment': 'Binnen examenrooster', 'format': 'Mondeling examen', 'percentage': '100,00'}]]",wel mogelijk.
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3']",Artificial intelligence in health care,189498,3 studiepunten,,
2025-26,"['IC Audiology', 'IC Nursing (niet in 2025-26), trajectschijf 3', 'IC Speech and Language Pathology']",Lean management in health care,189499,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '30,00'}], [{'moment': 'Buiten examenrooster', 'format': 'Paper', 'percentage': '70,00'}, {'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '30,00'}]]",wel mogelijk.
2025-26,"['IC Nursing (niet in 2025-26), trajectschijf 3']",Nursing perspectives on care for older adults,189500,3 studiepunten,,
2025-26,"['IC Occupational Therapy, trajectschijf 3']",Research on new contexts for occupational therapy / health and social care,189501,3 studiepunten,"[[{'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]]",wel mogelijk.
