SubgroupKey;SubgroupCode;ProgramName;ProgramFamily;ProgramNameSource;ProgramFamilySource;InferenceConfidence;InferenceEvidenceCount
1;4889294;;;;;;
2;4993432;;;;;;
3;4993473;;;;;;
4;5124387;;;;;;
5;5278847;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
6;5278877;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
7;5279133;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
8;5279163;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
9;5279419;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
10;5279449;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
11;5303876;;;;;;
12;5303938;;;;;;
13;5316136;;;;;;
14;5352461;;;;;;
15;5365421;;;;;;
16;5406186;;;;;;
17;5425818;;;;;;
18;5452209;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
19;5452495;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
20;5501899;;;;;;
21;5516218;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;10.0
22;5567109;;;;;;
23;5651631;;;;;;
24;5651632;;;;;;
25;5651633;;;;;;
26;5677872;;;;;;
27;5690655;PBA-SW/2laterkiezen;PBA-SW;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;110.0
28;5717669;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;22.0
29;5717692;PBA-SO/LOBR/2A;PBA-SO;students;students;;
30;5717823;PBA-SO/LOBR/2A;PBA-SO;students;students;;
31;5717824;PBA-SO/LOBR/2A;PBA-SO;students;students;;
32;5717825;PBA-SO/LOBR/2A;PBA-SO;students;students;;
33;5717826;PBA-SO/LOBR/2A;PBA-SO;students;students;;
34;5717829;PBA-SO/LOBR/2A;PBA-SO;students;students;;
35;5717830;PBA-SO/LOBR/2A;PBA-SO;students;students;;
36;5717831;PBA-SO/LOBR/2A;PBA-SO;students;students;;
37;5717832;PBA-SO/LOBR/2A;PBA-SO;students;students;;
38;5717833;PBA-SO/LOBR/2A;PBA-SO;students;students;;
39;5717834;PBA-SO/LOBR/AO/2A;PBA-SO;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;0.8;12.0
40;5717835;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;20.0
41;5717836;PBA-SO/LOBR/2A;PBA-SO;students;students;;
42;5717941;PBA-SO/LOBR/2B;PBA-SO;students;students;;
43;5717964;PBA-SO/LOBR/2B;PBA-SO;students;students;;
44;5718095;PBA-SO/LOBR/2B;PBA-SO;students;students;;
45;5718096;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;11.0
46;5718097;PBA-SO/LOBR/2B;PBA-SO;students;students;;
47;5718098;;;;;;
48;5718101;PBA-SO/LOBR/2B;PBA-SO;students;students;;
49;5718102;PBA-SO/LOBR/2B;PBA-SO;students;students;;
50;5718103;PBA-SO/LOBR/2B;PBA-SO;students;students;;
51;5718104;;PBA-SO;;lecture_subgroup_cooccurrence;1.0;16.0
52;5718105;PBA-SO/LOBR/2B;PBA-SO;students;students;;
53;5718106;PBA-SO/LOBR/AO/2B;PBA-SO;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;0.8;12.0
54;5718107;PBA-SO/LOBR/2B;PBA-SO;students;students;;
55;5718108;PBA-SO/LOBR/2B;PBA-SO;students;students;;
56;5719695;PBA-BM-ML/1A;PBA-BM-ML;students;students;;
57;5719696;PBA-BM-ML/1A;PBA-BM-ML;students;students;;
58;5719697;PBA-BM-ML/1A;PBA-BM-ML;students;students;;
59;5719834;PBA-BM-ML/1SEM1;PBA-BM-ML;students;students;;
60;5721124;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
61;5721126;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
62;5721127;;PBA-BM-AF;;lecture_subgroup_cooccurrence;1.0;8.0
63;5721128;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
64;5721130;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
65;5721131;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
66;5721132;;PBA-BM-AF;;lecture_subgroup_cooccurrence;0.972972972972973;36.0
67;5721133;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
68;5721134;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
69;5721135;;PBA-BM-AF;;lecture_subgroup_cooccurrence;1.0;12.0
70;5721136;PBA-BM-AF/1A2;PBA-BM-AF;students;students;;
71;5721397;;;;;;
72;5722796;PBA-MODE/1A;PBA-MODE;students;students;;
73;5722797;PBA-MODE/1A;PBA-MODE;students;students;;
74;5722801;PBA-MODE/1A;PBA-MODE;students;students;;
75;5722805;PBA-MODE/1A;PBA-MODE;students;students;;
76;5722807;;;;;;
77;5722811;PBA-MODE/1A;PBA-MODE;students;students;;
78;5722815;PBA-MODE/1A;PBA-MODE;students;students;;
79;5722819;PBA-MODE/1A;PBA-MODE;students;students;;
80;5722820;PBA-MODE/1A;PBA-MODE;students;students;;
81;5722828;PBA-MODE/1A;PBA-MODE;students;students;;
82;5722831;BNB-IBM/1;BNB-IBM;students;students;;
83;5722832;BNB-IBM/1;BNB-IBM;students;students;;
84;5722835;BNB-IBM/1;BNB-IBM;students;students;;
85;5722836;BNB-IBM/1;BNB-IBM;students;students;;
86;5722837;BNB-IBM/1;BNB-IBM;students;students;;
87;5722838;BNB-IBM/1;BNB-IBM;students;students;;
88;5722839;BNB-IBM/1;BNB-IBM;students;students;;
89;5722840;BNB-IBM/1;BNB-IBM;students;students;;
90;5722841;BNB-IBM/1;BNB-IBM;students;students;;
91;5722842;;;;;;
92;5722843;BNB-IBM/1;BNB-IBM;students;students;;
93;5722844;BNB-IBM/1;BNB-IBM;students;students;;
94;5722885;BNB-TFISC/1;BNB-TFISC;students;students;;
95;5722886;;;;;;
96;5722889;BNB-TFISC/1;BNB-TFISC;students;students;;
97;5722890;BNB-TFISC/1;BNB-TFISC;students;students;;
98;5722891;BNB-TFISC/1;BNB-TFISC;students;students;;
99;5722892;BNB-TFISC/1;BNB-TFISC;students;students;;
100;5722893;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
101;5722896;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
102;5722899;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
103;5722902;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
104;5722903;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
105;5722904;PBA-BM-FV/VT/VG;PBA-BM-FV;lecture_subgroup_cooccurrence;lecture_subgroup_cooccurrence;1.0;12.0
106;5722906;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
107;5722907;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
108;5722915;INT-BRL_BU/1SEM1;INT-BRL_BU;students;students;;
109;5722930;INT-BRL_BU/1SEM2;INT-BRL_BU;students;students;;
110;5722931;INT-BRL_BU/1SEM2;INT-BRL_BU;students;students;;
111;5722933;INT-BRL_BU/1SEM2;INT-BRL_BU;students;students;;
