SessionID,FullDate,SessionSlot,SessionStart,SessionEnd,YearWeek,ExpectedStudents,PresentAssignedStudents,AttendanceRate
20260211_1,2026-02-11,Wednesday 08:15-12:30,2026-02-11 08:15:00,2026-02-11 12:30:00,2026-W07,109,25,0.22935779816513763
20260212_1,2026-02-12,Thursday 13:30-17:45,2026-02-12 13:30:00,2026-02-12 17:45:00,2026-W07,27,1,0.037037037037037035
20260213_1,2026-02-13,Friday 08:15-12:30,2026-02-13 08:15:00,2026-02-13 12:30:00,2026-W07,33,10,0.30303030303030304
20260218_1,2026-02-18,Wednesday 08:15-12:30,2026-02-18 08:15:00,2026-02-18 12:30:00,2026-W08,109,13,0.11926605504587157
20260219_1,2026-02-19,Thursday 13:30-17:45,2026-02-19 13:30:00,2026-02-19 17:45:00,2026-W08,27,1,0.037037037037037035
20260220_1,2026-02-20,Friday 08:15-12:30,2026-02-20 08:15:00,2026-02-20 12:30:00,2026-W08,33,22,0.6666666666666666
20260225_1,2026-02-25,Wednesday 08:15-12:30,2026-02-25 08:15:00,2026-02-25 12:30:00,2026-W09,109,104,0.9541284403669725
20260226_1,2026-02-26,Thursday 13:30-17:45,2026-02-26 13:30:00,2026-02-26 17:45:00,2026-W09,27,25,0.9259259259259259
20260227_1,2026-02-27,Friday 08:15-12:30,2026-02-27 08:15:00,2026-02-27 12:30:00,2026-W09,33,33,1.0
20260304_1,2026-03-04,Wednesday 08:15-12:30,2026-03-04 08:15:00,2026-03-04 12:30:00,2026-W10,109,98,0.8990825688073395
20260305_1,2026-03-05,Thursday 13:30-17:45,2026-03-05 13:30:00,2026-03-05 17:45:00,2026-W10,27,27,1.0
20260306_1,2026-03-06,Friday 08:15-12:30,2026-03-06 08:15:00,2026-03-06 12:30:00,2026-W10,33,30,0.9090909090909091
20260311_1,2026-03-11,Wednesday 08:15-12:30,2026-03-11 08:15:00,2026-03-11 12:30:00,2026-W11,109,85,0.7798165137614679
20260312_1,2026-03-12,Thursday 13:30-17:45,2026-03-12 13:30:00,2026-03-12 17:45:00,2026-W11,27,27,1.0
20260313_1,2026-03-13,Friday 08:15-12:30,2026-03-13 08:15:00,2026-03-13 12:30:00,2026-W11,33,30,0.9090909090909091
20260318_1,2026-03-18,Wednesday 08:15-12:30,2026-03-18 08:15:00,2026-03-18 12:30:00,2026-W12,109,102,0.9357798165137615
20260319_1,2026-03-19,Thursday 13:30-17:45,2026-03-19 13:30:00,2026-03-19 17:45:00,2026-W12,27,26,0.9629629629629629
20260320_1,2026-03-20,Friday 08:15-12:30,2026-03-20 08:15:00,2026-03-20 12:30:00,2026-W12,33,27,0.8181818181818182
20260325_1,2026-03-25,Wednesday 08:15-12:30,2026-03-25 08:15:00,2026-03-25 12:30:00,2026-W13,109,100,0.9174311926605505
20260326_1,2026-03-26,Thursday 13:30-17:45,2026-03-26 13:30:00,2026-03-26 17:45:00,2026-W13,27,22,0.8148148148148148
20260327_1,2026-03-27,Friday 08:15-12:30,2026-03-27 08:15:00,2026-03-27 12:30:00,2026-W13,33,32,0.9696969696969697
20260401_1,2026-04-01,Wednesday 08:15-12:30,2026-04-01 08:15:00,2026-04-01 12:30:00,2026-W14,109,93,0.8532110091743119
20260402_1,2026-04-02,Thursday 13:30-17:45,2026-04-02 13:30:00,2026-04-02 17:45:00,2026-W14,27,23,0.8518518518518519
20260403_1,2026-04-03,Friday 08:15-12:30,2026-04-03 08:15:00,2026-04-03 12:30:00,2026-W14,33,30,0.9090909090909091
20260422_1,2026-04-22,Wednesday 08:15-12:30,2026-04-22 08:15:00,2026-04-22 12:30:00,2026-W17,109,93,0.8532110091743119
20260423_1,2026-04-23,Thursday 13:30-17:45,2026-04-23 13:30:00,2026-04-23 17:45:00,2026-W17,27,10,0.37037037037037035
20260424_1,2026-04-24,Friday 08:15-12:30,2026-04-24 08:15:00,2026-04-24 12:30:00,2026-W17,33,29,0.8787878787878788
20260429_1,2026-04-29,Wednesday 08:15-12:30,2026-04-29 08:15:00,2026-04-29 12:30:00,2026-W18,109,48,0.44036697247706424
20260430_1,2026-04-30,Thursday 13:30-17:45,2026-04-30 13:30:00,2026-04-30 17:45:00,2026-W18,27,3,0.1111111111111111
20260506_1,2026-05-06,Wednesday 08:15-12:30,2026-05-06 08:15:00,2026-05-06 12:30:00,2026-W19,109,96,0.8807339449541285
20260507_1,2026-05-07,Thursday 13:30-17:45,2026-05-07 13:30:00,2026-05-07 17:45:00,2026-W19,27,20,0.7407407407407407
20260508_1,2026-05-08,Friday 08:15-12:30,2026-05-08 08:15:00,2026-05-08 12:30:00,2026-W19,33,28,0.8484848484848485
20260513_1,2026-05-13,Wednesday 08:15-12:30,2026-05-13 08:15:00,2026-05-13 12:30:00,2026-W20,109,44,0.4036697247706422
20260520_1,2026-05-20,Wednesday 08:15-12:30,2026-05-20 08:15:00,2026-05-20 12:30:00,2026-W21,109,44,0.4036697247706422
20260521_1,2026-05-21,Thursday 13:30-17:45,2026-05-21 13:30:00,2026-05-21 17:45:00,2026-W21,27,12,0.4444444444444444
20260522_1,2026-05-22,Friday 08:15-12:30,2026-05-22 08:15:00,2026-05-22 12:30:00,2026-W21,33,9,0.2727272727272727
