RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
361,2,1,01.02.110.048,GSCHB.1.009a,NULL,NULL,NULL
366,2,1,01.02.110.049,GSCHB.1.009b,NULL,NULL,NULL
412,2,3,01.02.130.040,GSCHB.3.003,NULL,NULL,NULL
415,2,2,01.02.120.044,GSCHB.2.017,NULL,NULL,NULL
433,2,0,01.02.100.034,GSCHB.0.034,consultatie,4,12
437,2,0,01.02.100.035,GSCHB.0.035,consultatie,8,12
438,2,0,01.02.100.033,GSCHB.0.033,consultatie,4,12
462,2,0,01.02.100.004,GSCHB.0.004,receptie/onthaal,NULL,37.22
489,2,-1,01.02.090.004,GSCHB.-1.004,technieken,NULL,18.02
490,2,-1,01.02.090.001,GSCHB.-1.001,technieken,NULL,123.73
497,2,-1,01.02.090.005,GSCHB.-1.005,technieken,NULL,50.77
501,2,-1,01.02.090.003,GSCHB.-1.003,technieken,NULL,130.06
514,2,2,01.02.120.027,GSCHB.2.027,laptoplokaal,24,56.02
515,2,4,01.02.140.027,GSCHB.4.027,PC-klas,54,106.13
517,2,4,01.02.140.010,GSCHB.4.010,PC-klas,36,70.43
520,2,3,01.02.130.009,GSCHB.3.009,PC-klas,60,105.44
521,2,2,01.02.120.030,GSCHB.2.030,laptoplokaal,25,54.25
522,2,2,01.02.120.031,GSCHB.2.031,laptoplokaal,25,55.89
523,2,2,01.02.120.035,GSCHB.2.035,laptoplokaal,33,107.88
524,2,1,01.02.110.007,GSCHB.1.007,PC-klas,60,106.53
525,2,2,01.02.120.033,GSCHB.2.033,laptoplokaal,25,55.87
565,2,3,01.02.130.020,GSCHB.3.020,sas,NULL,3.06
578,2,0,01.02.100.020,GSCHB.0.020,sas,NULL,11.58
579,2,0,01.02.100.052,GSCHB.0.052,sas,NULL,2.63
582,2,0,01.02.100.048,GSCHB.0.048,sas,NULL,2.63
614,2,4,01.02.140.018,GSCHB.4.018,sas,NULL,3.67
616,2,1,01.02.110.018,GSCHB.1.018,sas,NULL,3.67
634,2,0,01.02.100.030,GSCHB.0.030,sas,NULL,3.92
693,2,2,01.02.120.019,GSCHB.2.019,sas,NULL,3.67
703,2,0,01.02.100.027,GSCHB.0.027,sas,NULL,3.97
709,2,-1,01.02.090.009,GSCHB.-1.009,ongedefinieerd,NULL,20.32
710,2,-1,01.02.090.006,GSCHB.-1.006,ongedefinieerd,NULL,55.59
711,2,-1,01.02.090.007,GSCHB.-1.007,ongedefinieerd,NULL,20.33
712,2,-1,01.02.090.008,GSCHB.-1.008,ongedefinieerd,NULL,29.97
714,2,5,01.02.150.007,GSCHB.5.007,Grasperk(vbMVE),NULL,644.58
715,2,5,01.02.150.005,GSCHB.5.005,Grasperk(vbMVE),NULL,644.58
737,2,1,01.02.110.019,GSCHB.1.019,magazijn,NULL,1.31
738,2,0,01.02.100.057,GSCHB.0.057,magazijn,NULL,3.49
779,2,6,01.02.160.950,GSCHB.6.950,liftkokers,NULL,0
833,2,2,01.02.120.039,GSCHB.2.039,laboratorium,30,306.58
851,2,4,01.02.140.026,GSCHB.4.026,laboratorium,NULL,51.91
853,2,1,01.02.110.038,GSCHB.1.038,laboratorium,25,68.5
892,2,0,01.02.100.001,GSCHB.0.001,inkom,NULL,81.7
899,2,1,01.02.110.002,GSCHB.1.002,vergaderzaal,NULL,9.59
901,2,3,01.02.130.018,GSCHB.3.018,vergaderzaal,14,46.26
902,2,3,01.02.130.002,GSCHB.3.002,vergaderzaal,NULL,8.13
905,2,0,01.02.100.061,GSCHB.0.061,vergaderzaal,14,35.31
906,2,0,01.02.100.054,GSCHB.0.054,vergaderzaal,4,12.37
909,2,0,01.02.100.063,GSCHB.0.063,vergaderzaal,NULL,9.52
912,2,1,01.02.110.009,GSCHB.1.009,vergaderzaal,20,50.24
918,2,2,01.02.120.002,GSCHB.2.002,vergaderzaal,4,7.84
921,2,3,01.02.130.016,GSCHB.3.016,vergaderzaal,35,97.96
925,2,2,01.02.120.028,GSCHB.2.028,vergaderzaal,NULL,18.69
956,2,0,01.02.100.040,GSCHB.0.040,restaurant,NULL,596
961,2,0,01.02.100.075,GSCHB.0.075,landschapsburelen,NULL,472.42
970,2,1,01.02.110.001,GSCHB.1.001,gang,NULL,57.38
974,2,2,01.02.120.026,GSCHB.2.026,gang,NULL,173.23
975,2,0,01.02.100.012,GSCHB.0.012,gang,NULL,123.21
983,2,2,01.02.120.001,GSCHB.2.001,gang,NULL,59.74
984,2,1,01.02.110.033,GSCHB.1.033,gang,NULL,179.23
1014,2,0,01.02.100.045,GSCHB.0.045,gang,NULL,40.25
1017,2,3,01.02.130.034,GSCHB.3.034,gang,NULL,198.04
1044,2,3,01.02.130.004,GSCHB.3.004,gang,NULL,213.84
1046,2,1,01.02.110.004,GSCHB.1.004,gang,NULL,224.65
1064,2,3,01.02.130.001,GSCHB.3.001,gang,NULL,58.5
1066,2,-1,01.02.090.002,GSCHB.-1.002,gang,NULL,61.9
1070,2,2,01.02.120.004,GSCHB.2.004,gang,NULL,223.86
1075,2,4,01.02.140.004,GSCHB.4.004,gang,NULL,169.86
1076,2,4,01.02.140.001,GSCHB.4.001,gang,NULL,58.32
1087,2,5,01.02.150.006,GSCHB.5.006,gang,NULL,16.5
1089,2,4,01.02.140.031,GSCHB.4.031,gang,NULL,169.86
1094,2,0,01.02.100.076,GSCHB.0.076,PR-lokaal,NULL,101.2
1105,2,0,01.02.100.010,GSCHB.0.010,auditorium,381,363.73
1108,2,1,01.02.110.032,GSCHB.1.032,auditorium,153,161.88
1111,2,2,01.02.120.018,GSCHB.2.018,auditorium,107,128.35
1113,2,2,01.02.120.015,GSCHB.2.015,auditorium,101,125.08
1116,2,1,01.02.110.017,GSCHB.1.017,auditorium,110,128.05
1118,2,1,01.02.110.015,GSCHB.1.015,auditorium,107,125.11
1120,2,0,01.02.100.064,GSCHB.0.064,auditorium,107,110.25
