RoomKey,Building,RoomFloor,Code,RoomName,Category,Capacity,Area
433,2,0.0,01.02.100.034,GSCHB.0.034,consultatie,4.0,12.0
437,2,0.0,01.02.100.035,GSCHB.0.035,consultatie,8.0,12.0
438,2,0.0,01.02.100.033,GSCHB.0.033,consultatie,4.0,12.0
514,2,2.0,01.02.120.027,GSCHB.2.027,laptoplokaal,24.0,56.02
515,2,4.0,01.02.140.027,GSCHB.4.027,PC-klas,54.0,106.13
517,2,4.0,01.02.140.010,GSCHB.4.010,PC-klas,36.0,70.43
520,2,3.0,01.02.130.009,GSCHB.3.009,PC-klas,60.0,105.44
521,2,2.0,01.02.120.030,GSCHB.2.030,laptoplokaal,25.0,54.25
522,2,2.0,01.02.120.031,GSCHB.2.031,laptoplokaal,25.0,55.89
523,2,2.0,01.02.120.035,GSCHB.2.035,laptoplokaal,33.0,107.88
524,2,1.0,01.02.110.007,GSCHB.1.007,PC-klas,60.0,106.53
525,2,2.0,01.02.120.033,GSCHB.2.033,laptoplokaal,25.0,55.87
833,2,2.0,01.02.120.039,GSCHB.2.039,laboratorium,30.0,306.58
853,2,1.0,01.02.110.038,GSCHB.1.038,laboratorium,25.0,68.5
901,2,3.0,01.02.130.018,GSCHB.3.018,vergaderzaal,14.0,46.26
905,2,0.0,01.02.100.061,GSCHB.0.061,vergaderzaal,14.0,35.31
906,2,0.0,01.02.100.054,GSCHB.0.054,vergaderzaal,4.0,12.37
912,2,1.0,01.02.110.009,GSCHB.1.009,vergaderzaal,20.0,50.24
918,2,2.0,01.02.120.002,GSCHB.2.002,vergaderzaal,4.0,7.84
921,2,3.0,01.02.130.016,GSCHB.3.016,vergaderzaal,35.0,97.96
1105,2,0.0,01.02.100.010,GSCHB.0.010,auditorium,381.0,363.73
1108,2,1.0,01.02.110.032,GSCHB.1.032,auditorium,153.0,161.88
1111,2,2.0,01.02.120.018,GSCHB.2.018,auditorium,107.0,128.35
1113,2,2.0,01.02.120.015,GSCHB.2.015,auditorium,101.0,125.08
1116,2,1.0,01.02.110.017,GSCHB.1.017,auditorium,110.0,128.05
1118,2,1.0,01.02.110.015,GSCHB.1.015,auditorium,107.0,125.11
1120,2,0.0,01.02.100.064,GSCHB.0.064,auditorium,107.0,110.25
1122,2,3.0,01.02.130.019,GSCHB.3.019,auditorium,101.0,118.11
1125,2,1.0,01.02.110.034,GSCHB.1.034,auditorium,107.0,127.64
1539,2,3.0,01.02.130.006,GSCHB.3.006,leslokaal,34.0,52.58
1543,2,0.0,01.02.100.078,GSCHB.0.078,atelier,95.0,247.24
1549,2,3.0,01.02.130.015,GSCHB.3.015,leslokaal,44.0,71.06
1550,2,4.0,01.02.140.016,GSCHB.4.016,leslokaal,54.0,70.15
1551,2,2.0,01.02.120.007,GSCHB.2.007,leslokaal,35.0,55.93
1552,2,4.0,01.02.140.041,GSCHB.4.041,leslokaal,54.0,55.83
1553,2,3.0,01.02.130.039,GSCHB.3.039,leslokaal,60.0,73.8
1555,2,4.0,01.02.140.011,GSCHB.4.011,leslokaal,35.0,52.91
1556,2,4.0,01.02.140.017,GSCHB.4.017,leslokaal,59.0,70.14
1563,2,1.0,01.02.110.026,GSCHB.1.026,leslokaal,26.0,58.05
1565,2,4.0,01.02.140.008,GSCHB.4.008,leslokaal,35.0,52.53
1570,2,3.0,01.02.130.014,GSCHB.3.014,leslokaal,43.0,70.67
1571,2,4.0,01.02.140.006,GSCHB.4.006,leslokaal,35.0,52.95
1572,2,3.0,01.02.130.008,GSCHB.3.008,leslokaal,34.0,53.38
1573,2,4.0,01.02.140.039,GSCHB.4.039,leslokaal,48.0,105.12
1574,2,4.0,01.02.140.042,GSCHB.4.042,leslokaal,56.0,111.62
1579,2,4.0,01.02.140.005,GSCHB.4.005,leslokaal,54.0,70.73
1580,2,2.0,01.02.120.005,GSCHB.2.005,leslokaal,76.0,94.26
