EMAIL,SUBGROEPID
u_0004afc12d51a3abed3e3fdce34730bb320831ca33c78300d7dab9933d96ac78,"[5783390, 5783392]"
u_00052c64fd30d4da73d0fe83ccf9373f5d0e848cb273f201b23de923baac876a,"[5735402, 5736946, 5900539, 6012170, 6012195, 6012200, 6012301, 6103468, 6103700, 6144976]"
u_000841d86bc2083e8fab1544c5b033a457686cb9b519b94f8c31e9966b93f73b,"[5785742, 5785745, 5785761, 5785782, 5785784, 5785785, 5785795, 5785796, 5785805, 5785807, 6001493, 6001529]"
u_00095f48c965fe63fe6caba1efb272e75afaf907bf1ecc502a71d6b66f6c26c0,"[5777237, 5777240, 5777243, 5777247, 5777251, 5777257, 5777258, 5777268, 5777269, 5777271, 5777273, 5777274, 5777275]"
u_000ac99864f8ee3fc1b04889055f9ab35c531c1860efd2cc06852b4c7222162c,"[5741777, 5852555]"
u_000ea87f73aadcee49d7945f3a7c0987b740e93a0a90a310f9ca09497ccf834c,"[5850495, 5939737, 5939852, 5939855, 5939857, 5939858, 5939859, 5972775]"
u_000f1b28f5fb552c0204a4f57ab8aa396a60e9a4de78ba6d2c64c38aa1fb5018,"[5978197, 5978200, 5978201, 5978202, 5978203, 5978204, 5978206, 5978208, 5978209]"
u_001267f43a92bb6d1f22d330029b3a8ca8429cf876423ddb0873520a92711690,"[6117609, 6117611, 6117612, 6117613, 6117616, 6117618, 6117619, 6117621]"
u_00156a93861f50711cb5774425de6c827836e04d7d159f6cbfa1ee125713e35a,"[5953689, 5953696, 5953728, 5953730, 5953736, 5953738, 5953742, 5953746, 5953748]"
u_0016dff0b5695f3be0b44ffbf725520a23a2e53fa1bf12d56bb5d2da0a8199ad,"[6050162, 6050164, 6050165]"
u_001f32a3afd07d224ea24772a878655a4a5216b294e27d990e8a0ae56924a301,"[5939289, 5939293, 5939295, 5939306]"
u_0021a24ed2751665dfcf319dfb2a5184a23425c9fe51a91d2a0c565701ee375d,"[6116437, 6116440, 6116442]"
u_0023f468ce806e216ff59554a668938b46ed46833800b705a87cd7648026d988,"[5783600, 5934197, 6080563]"
u_00246c0b3f186dcdfbdb2fafe8f157a6d89cecc56427ca85522b09d8990e274b,[5835432]
u_00258153666f286e359bdd289486e8be14e9cd1c9e54d95964e804a693881293,"[6117228, 6117229, 6117230, 6117231, 6117232, 6117233, 6117234, 6117235, 6117236]"
u_00279c2d57358f94e6c5242f44b61c06affeb9a96e2b794b86184b99c9174c13,[5953603]
u_0029fe740c8cee71257159b7e62d0b4b742eba522044411a8506b4bdc1a06cb9,"[5805854, 5805857, 5805858, 5805859, 5805860, 5805861, 6008855]"
u_00371478812e7c2a7b6ec165fb9e4b49fbb7431df114776773ed88e5314a28d8,"[6077363, 6077386, 6077409, 6077432, 6077455, 6077478, 6077501, 6077524, 6077547, 6077570, 6077593, 6077616, 6077639, 6077662]"
u_00390cde6b16dbd77083db87f9ffcb6e9c868e26a1be7ec38bb269c1bd6ef45c,"[5800572, 5800575, 5800584, 5800585, 5800586, 5800587, 5800588, 5800590, 5800591, 5800592, 5800660, 5800663]"
u_004312a982cb021aff57f7e09afcc6e9409722742bbce4cdc1a27ec02805d9d1,"[5872949, 5892782, 5892807, 5892811, 5892812, 5953748]"
u_004a26535edcec68153bed091e8680519bd9b24a38abf55539ec4f1dfb7a7e0b,"[5876143, 5900772, 5900775]"
u_004a66f604aa46340cb606d28f5dfe436ab5db135550cefa7faff2fa0b326744,[5920276]
u_004dcf87cdddafe4e9c7b7becceb625cd084a20e1b12acae4018aed8c8948439,"[5872851, 5872873, 5872874, 5872875, 5872878, 5872879, 5872880, 5872881]"
u_004df27a463c7e422ffbe6316cced32b32e198a914fe35561279c76416a07ba2,"[6145385, 6145424, 6145430]"
u_0053ad24ae478924b685a447b29fd24a8d7466774b383abe3fe1dbe0831fe0cc,"[5728835, 5728837, 5775117, 5775118, 5901765, 5901774, 5901775, 5901776, 5901778, 6071926]"
u_0054c96562c3ba7789b94d9423a2a85cb9a9e80d6c73e39baef84ab8d26a0bb3,"[5805900, 5805902, 5805903, 5805904]"
u_005612f60f21f48d7da9da817c9d7c54e7a858163154197c32ddecd1ed2761ff,[5904066]
u_005ae2c647d49cc6f3fe837efbd73e0dbcf5798658612ad164730aa605787bd4,"[5872775, 5872797, 5872799, 5872800, 5872802, 5872803, 5872804]"
u_005d9233f835f6836239a3189ea09b7c0ac21dc2e408cbfc7e6ba8e04510828f,[5885328]
u_0069f28d8e51dbbef42d31d734101349547937edb58ae73f0ab3cab69d4c1fbe,"[5785582, 5928787, 5928790, 5928827, 5928828, 5928829, 5928840, 5928852, 6001513, 6001549]"
u_007d7f1b7190adbbb6aec97d36ae2920e4de8dcfe569b17cb795a63be88b26c8,"[5796253, 5796256, 5829222, 5829223, 5829224, 5829225, 5829226, 5829227, 5829228]"
u_00825b92cdaa639671bc4c20c34a5ead26c192886e173f1b138ad3121002fad4,"[6058494, 6058496, 6058497, 6058500, 6058501, 6058505, 6058506, 6058731, 6071605]"
u_0084049e862c50654cd13bfc9d7a92d5f65298f292d191d58202796b9eed0151,"[5804752, 5804786, 5804788, 5804813, 6092376, 6092873, 6104861, 6104931, 6105001]"
u_0089604f2f47cbb1844f48c37274c0b9032bd597fe8c25a65b137091de5c2c6d,[5786175]
u_0094c7953b3edf3977ed449a0272f303ca6ed88f342a35f58f082e27eab07ed0,"[5927871, 5927874, 5927877, 5927881, 5927885, 6031843, 6077692, 6077715, 6077738]"
u_0094f33cd424b46652f52c5b6bb8b296d6089682813dc9caebc2c8bbe3b154b2,[5858054]
u_0097e219c00ff7556210f8df0999f2d146ff9f0c83da15ad01b5a3b43c940339,"[5861087, 5861109, 5861111, 5861112, 5861113, 5861114, 5861116, 5861117]"
u_0099805ce18a343d54686e9f25f97004bb8d9686892385d24e7458478c1e22cc,"[5867910, 5880148, 5893788, 5893789, 5893824, 5893847, 5893903]"
u_009c36bb6a2d48d136c01616910a2d3b16674b93dbdca9cfc5f8d0b5bfdb7504,"[5983424, 5983428, 5983437, 5983442, 5983443, 5983465, 5983466, 5983467, 5983468, 5983469, 5983470, 5983471, 5983472, 6036783]"
u_00a0628c92c0a8ea9d2908171df73e1d46d17eefa93210a3ce61fc7ef71df357,"[6116437, 6116440, 6116442]"
u_00a302052160bd1c17a2aaa6bdb84af1643a2da97ee6cccaabd432ca4fc667fc,"[6050162, 6050164, 6050165, 6050221, 6050222, 6050223, 6050225, 6050226, 6050227, 6123438, 6126081, 6126085]"
u_00a53277ab0858093dca7a3bbe9c85ec71e503432cb8d631fac987c84528cbfb,[5792791]
u_00a6fed3c911014751cf3e7c698e04c1530f4c354e8edc62d6124f8101f7a18b,"[5797347, 5797349, 5797355, 5797359, 6020788, 6034498, 6035837, 6035853, 6041234, 6041250, 6041266]"
u_00ae1dc3d87a5d18e280542fe81f0425fbb13cfdeb3c0a199011c7cf53b2736f,"[5886935, 5886957, 5886958, 5894556, 5894557, 5894558, 5894561, 5894564, 5894565, 5894566, 6001437]"
u_00b79176309f7d1850d905db5b28f1b3660af350059546d782ff1e1c291d2a3e,"[5929608, 5929609, 5929614, 5929615, 5929616, 5929618, 5983906, 5983908, 5983909]"
u_00bc338e280a0d88f5a50cfd5e6c5aa9968e4135f87f79ac06415e2294b5acd2,"[5770931, 5770936]"
u_00bffb2bc682df8e1df6aa34f9ea08776ceb1223912aaa20cf0c42f665db7cc8,"[5796256, 5959453, 5959458, 5959460, 5976641, 5976664]"
u_00c0024b51263a360d4015f51f2ddbc7bae61e5a96fbc2b2a587efbefb9dcc58,"[5816398, 5872345, 5872461]"
u_00c3174f83b19d4dd3c9c62bfdb1b1f1031dd5c7a0f1b0793f2460d0c432f08e,"[5799591, 5799592, 5799593, 5807210, 5807215, 5807220, 5807222, 5872095, 5872099, 5938931, 6080998]"
u_00cdc847a2d6eecb93efba0f7d4c9039c00aa5c4fee6323c2541997f231aea7b,"[6142716, 6142720, 6142722, 6142743, 6142744, 6142754, 6142756]"
u_00cf3d07535bbd4941e9d7090873f6d16331c2869d5371ac26c339cf6f479b26,"[5865135, 5865165, 5865166, 5865185, 5865238, 6146223]"
u_00d3baf057f8a8d2d16bf28a3d2bdb789095a743e77d308ae60640504727762a,"[5813705, 5877935, 5903990, 5904149, 6092378, 6092805, 6092875]"
u_00d7e903fc8860d75db90eba177db3419648ea2554a5edf8e370dab3da14f5e7,"[5738861, 5747215, 5747216, 5747225, 5747227, 5754066, 5754068, 5754069, 5869797, 5875830]"
u_00dddd37d24d6c4936ab67893c00ef481331e2f2c2aee0c9bbab20a3b2e7342e,"[5866089, 5916161, 5916162, 5916163, 5916164, 5916165, 5916166, 5916171, 5916173, 5916175, 5916179, 5916180, 5916181, 6081328]"
u_00e5d213e6c6892c0b873a726e08285756ebb6dce71fe3e4616a8d73158be6b4,"[5805942, 5805945, 5805946, 5805966, 5805968, 6008970, 6080916]"
u_00e706d78df9827178d09733a81e25e263556bcb9a3733602c76c62e3bddf5a2,"[5784542, 5784548, 5872851, 5872873, 5872875, 5872881, 5953426, 5953434, 5953442]"
u_00e76d4a2589d2ad82df47f27104f7f3759353c998605ecba68cb496e9b71471,"[5928975, 5928998]"
u_00e7884278e968dbb26dda7c94b06a20deb2a3170364864287c0851a1a7bec7d,"[5762796, 5768795, 5768802, 5768805, 5992681, 6098761]"
u_00e9bdf304165fc43d3506fb5896b2e0cd6f8b2cac19c61711f608955cecb9d8,"[5748422, 5852847, 5866920, 5866927, 5866930]"
u_00e9e9c47bb249ecc8dca305789a05adefcbf30a6e0c327a7e86d765330c1676,[5805966]
u_00ea45281cb546940fa2ff3616b0314d718f6243b29e41976ac5a07bcb3a4287,"[6056608, 6056609, 6056610, 6062417, 6063002, 6063143, 6063145, 6063149]"
u_00ec4fb015e200a4ff1c3ac09d44c4959519ee1d0ba91e0581deda04257195cf,[5868829]
