SUBGROEPID,SUBGROEPCODE
5717692,PBA-SO/LOBR/2A
5717824,PBA-SO/LOBR/2A
5717825,PBA-SO/LOBR/2A
5717826,PBA-SO/LOBR/2A
5717829,PBA-SO/LOBR/2A
5717830,PBA-SO/LOBR/2A
5717831,PBA-SO/LOBR/2A
5717832,PBA-SO/LOBR/2A
5717833,PBA-SO/LOBR/2A
5717836,PBA-SO/LOBR/2A
5717941,PBA-SO/LOBR/2B
5717964,PBA-SO/LOBR/2B
5718097,PBA-SO/LOBR/2B
5718101,PBA-SO/LOBR/2B
5718102,PBA-SO/LOBR/2B
5718103,PBA-SO/LOBR/2B
5718105,PBA-SO/LOBR/2B
5718107,PBA-SO/LOBR/2B
5718108,PBA-SO/LOBR/2B
5719696,PBA-BM-ML/1A
5719697,PBA-BM-ML/1A
5719834,PBA-BM-ML/1SEM1
5721124,PBA-BM-AF/1A2
5721128,PBA-BM-AF/1A2
5721130,PBA-BM-AF/1A2
5721133,PBA-BM-AF/1A2
5721134,PBA-BM-AF/1A2
5721136,PBA-BM-AF/1A2
5722796,PBA-MODE/1A
5722797,PBA-MODE/1A
5722801,PBA-MODE/1A
5722811,PBA-MODE/1A
5722815,PBA-MODE/1A
5722819,PBA-MODE/1A
5722820,PBA-MODE/1A
5722828,PBA-MODE/1A
5722831,BNB-IBM/1
5722832,BNB-IBM/1
5722835,BNB-IBM/1
5722837,BNB-IBM/1
5722839,BNB-IBM/1
5722841,BNB-IBM/1
5722843,BNB-IBM/1
5722885,BNB-TFISC/1
5722889,BNB-TFISC/1
5722890,BNB-TFISC/1
5722891,BNB-TFISC/1
5722896,INT-BRL_BU/1SEM1
5722899,INT-BRL_BU/1SEM1
5722903,INT-BRL_BU/1SEM1
5722907,INT-BRL_BU/1SEM1
5722915,INT-BRL_BU/1SEM1
5722930,INT-BRL_BU/1SEM2
5722931,INT-BRL_BU/1SEM2
5722933,INT-BRL_BU/1SEM2
5722934,INT-BRL_BU/1SEM2
5722935,INT-BRL_BU/1SEM2
5722937,INT-BRL_BU/1SEM2
5722939,INT-BRL_BU/1SEM2
5722940,INT-BRL_BU/1SEM2
5722942,INT-BRL_BU/1SEM2
5722944,INT-BRL_BU/1SEM2
5722951,INT-BRL_BU/1SEM2
5722952,INT-BRL_BU/1SEM2
5722966,INT-BRL_BU/1SEM2
5722984,INT-BRL_IO/1SEM1
5722986,INT-BRL_IO/1SEM1
5722996,INT-BRL_IO/1SEM1
5722997,INT-BRL_IO/1SEM1
5723000,INT-BRL_IO/1SEM1
5723001,INT-BRL_IO/1SEM1
5723027,INT-BRL_IO/1SEM2
5723028,INT-BRL_IO/1SEM2
5723031,INT-BRL_IO/1SEM2
5723035,INT-BRL_IO/1SEM2
5723036,INT-BRL_IO/1SEM2
5723046,INT-IT/1SEM2
5723047,INT-IT/1SEM2
5723052,PBA-BM-AF/1C1
5723077,PBA-BM-AF/1C1
5724161,PBA-ORTH/1D4
5724184,PBA-ORTH/1D4
5724187,PBA-ORTH/1D4
5724188,PBA-ORTH/1D4
5724189,PBA-ORTH/1D4
5724237,PBA-ORTH/1D6
5724260,PBA-ORTH/1D6
5724261,PBA-ORTH/1D6
5724262,PBA-ORTH/1D6
5724263,PBA-ORTH/1D6
5724264,PBA-ORTH/1D6
5724265,PBA-ORTH/1D6
5724266,PBA-ORTH/1D6
5724267,PBA-ORTH/1D6
5726430,PBA-BM-SCM/1A
5726931,PBA-BM-MK/2A2
5726936,PBA-BM-MK/2A2
5726937,PBA-BM-MK/2A2
5726938,PBA-BM-MK/2A2
5726939,PBA-BM-MK/2A2
5726941,PBA-BM-MK/2A2
5728594,PBA-BM-RE/2C
5728828,PBA-BM-RE/2C
5728834,PBA-BM-RE/2C
5728835,PBA-BM-RE/2C
5728837,PBA-BM-RE/2C
5729007,PBA-BM-RE/2C
5731663,PBA-ORTH/1D2
5731665,PBA-ORTH/1D2
5731666,PBA-ORTH/1D2
5731669,PBA-ORTH/1D2
5731671,PBA-ORTH/1D2
