year,faculties,title,code,credits,evaluation_methods,second_chance
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Supply Chain Execution,194823,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Financieel management,194824,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '60,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '40,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']",Supply Chain Planning,194825,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 2']","Douane, btw en accijnzen - introductie",194826,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",1MK - Strategisch Management (NL of EN),194827,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Strategisch management,194828,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1', 'Bachelor in organisatie & management']",Consumentenpsychologie,194829,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",1MK - Spreadsheettoepassingen (NL of EN),194830,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Spreadsheettoepassingen,194831,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Onderzoeksvaardigheden,194832,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Economie,194833,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Communicatievaardigheden,194834,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Presentatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",1MK - Keuzeopleidingsonderdeel,194835,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Trendanalyse,194836,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",1MK - Grafisch design (NL of EN),194839,3 studiepunten,,wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Grafisch Design,194840,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Graphic Design,194841,3 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Andere', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Juridische Basisvorming voor Marketeers,194842,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Chemie,194843,6 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '80,00'}, {'moment': 'Buiten examenrooster', 'format': 'Schriftelijk examen', 'percentage': '20,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Economie,194844,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']","Algemeen, burgerlijk en ondernemingsrecht",194845,4 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Schriftelijk examen', 'percentage': '100,00'}]",
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Frans,194846,5 studiepunten,"[{'moment': 'Binnen en buiten examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
2025-26,"['Bachelor in het bedrijfsmanagement, trajectschijf 1']",Engels,194847,5 studiepunten,"[{'moment': 'Binnen examenrooster', 'format': 'Geïntegreerde evaluatie', 'percentage': '100,00'}]",wel mogelijk.
