ClassName,NormalizedClassName,LessonType,FullDate,SessionID,SessionStart,SessionEnd,NumberOfTimeBlocks,SessionDurationMinutes,WeekdayName,SessionStartTime,SessionEndTime,SessionSlot,ExpectedStudents,PresentStudents,AttendanceRate,AttendancePercentage
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-10-01,a i voor de bachelorstudent_20251001_1,2025-10-01 18:00:00,2025-10-01 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,15,0.14423076923076922,14.423076923076922
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-10-08,a i voor de bachelorstudent_20251008_1,2025-10-08 18:00:00,2025-10-08 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,8,0.07692307692307693,7.6923076923076925
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-10-15,a i voor de bachelorstudent_20251015_1,2025-10-15 18:00:00,2025-10-15 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,24,0.23076923076923078,23.076923076923077
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-10-22,a i voor de bachelorstudent_20251022_1,2025-10-22 18:00:00,2025-10-22 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,4,0.038461538461538464,3.8461538461538463
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-10-29,a i voor de bachelorstudent_20251029_1,2025-10-29 18:00:00,2025-10-29 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,17,0.16346153846153846,16.346153846153847
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-11-05,a i voor de bachelorstudent_20251105_1,2025-11-05 18:00:00,2025-11-05 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,34,0.3269230769230769,32.69230769230769
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-11-12,a i voor de bachelorstudent_20251112_1,2025-11-12 18:00:00,2025-11-12 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,20,0.19230769230769232,19.230769230769234
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-11-19,a i voor de bachelorstudent_20251119_1,2025-11-19 18:00:00,2025-11-19 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,20,0.19230769230769232,19.230769230769234
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-11-26,a i voor de bachelorstudent_20251126_1,2025-11-26 18:00:00,2025-11-26 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,7,0.0673076923076923,6.730769230769231
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-12-03,a i voor de bachelorstudent_20251203_1,2025-12-03 18:00:00,2025-12-03 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,17,0.16346153846153846,16.346153846153847
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-12-10,a i voor de bachelorstudent_20251210_1,2025-12-10 18:00:00,2025-12-10 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,10,0.09615384615384616,9.615384615384617
A.I. voor de bachelorstudent,a i voor de bachelorstudent,Gewoon vak,2025-12-17,a i voor de bachelorstudent_20251217_1,2025-12-17 18:00:00,2025-12-17 20:00:00,1,120.0,Wednesday,18:00,20:00,Wednesday 18:00-20:00,104,0,0.0,0.0
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-09,advanced software development ii_20260209_1,2026-02-09 09:15:00,2026-02-09 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,2,0.125,12.5
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-11,advanced software development ii_20260211_1,2026-02-11 13:30:00,2026-02-11 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,14,0.30434782608695654,30.434782608695656
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-13,advanced software development ii_20260213_1,2026-02-13 13:30:00,2026-02-13 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,14,0.2857142857142857,28.57142857142857
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-18,advanced software development ii_20260218_1,2026-02-18 13:30:00,2026-02-18 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,13,0.2826086956521739,28.26086956521739
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-20,advanced software development ii_20260220_1,2026-02-20 13:30:00,2026-02-20 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,11,0.22448979591836735,22.448979591836736
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-23,advanced software development ii_20260223_1,2026-02-23 09:15:00,2026-02-23 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,3,0.1875,18.75
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-25,advanced software development ii_20260225_1,2026-02-25 13:30:00,2026-02-25 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,9,0.1956521739130435,19.565217391304348
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-02-27,advanced software development ii_20260227_1,2026-02-27 13:30:00,2026-02-27 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,6,0.12244897959183673,12.244897959183673
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-02,advanced software development ii_20260302_1,2026-03-02 09:15:00,2026-03-02 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,1,0.0625,6.25
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-04,advanced software development ii_20260304_1,2026-03-04 13:30:00,2026-03-04 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,10,0.21739130434782608,21.73913043478261
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-06,advanced software development ii_20260306_1,2026-03-06 13:30:00,2026-03-06 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,10,0.20408163265306123,20.408163265306122
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-09,advanced software development ii_20260309_1,2026-03-09 09:15:00,2026-03-09 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,2,0.125,12.5
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-11,advanced software development ii_20260311_1,2026-03-11 13:30:00,2026-03-11 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,13,0.2826086956521739,28.26086956521739
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-13,advanced software development ii_20260313_1,2026-03-13 13:30:00,2026-03-13 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,8,0.16326530612244897,16.3265306122449
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-16,advanced software development ii_20260316_1,2026-03-16 09:15:00,2026-03-16 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,0,0.0,0.0
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-18,advanced software development ii_20260318_1,2026-03-18 13:30:00,2026-03-18 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,12,0.2608695652173913,26.08695652173913
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-20,advanced software development ii_20260320_1,2026-03-20 13:30:00,2026-03-20 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,10,0.20408163265306123,20.408163265306122
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-23,advanced software development ii_20260323_1,2026-03-23 09:15:00,2026-03-23 12:30:00,1,195.0,Monday,09:15,12:30,Monday 09:15-12:30,16,2,0.125,12.5
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-25,advanced software development ii_20260325_1,2026-03-25 13:30:00,2026-03-25 16:45:00,1,195.0,Wednesday,13:30,16:45,Wednesday 13:30-16:45,46,11,0.2391304347826087,23.91304347826087
Advanced Software Development II,advanced software development ii,Gewoon vak,2026-03-27,advanced software development ii_20260327_1,2026-03-27 13:30:00,2026-03-27 16:45:00,1,195.0,Friday,13:30,16:45,Friday 13:30-16:45,49,7,0.14285714285714285,14.285714285714285
