FullDate,SessionID,ClassName,LessonType,SessionStart,SessionEnd,ExpectedStudents,PresentStudents,AttendanceRate
2025-11-03,costing_20251103_1,Costing,Gewoon vak,2025-11-03 10:30:00,2025-11-03 12:30:00,26,20,0.7692307692307693
2025-10-17,computer networks ii_20251017_1,Computer Networks II,Gewoon vak,2025-10-17 09:15:00,2025-10-17 12:30:00,32,24,0.75
2025-11-07,computer networks ii_20251107_1,Computer Networks II,Gewoon vak,2025-11-07 09:15:00,2025-11-07 12:30:00,32,24,0.75
2025-11-14,computer networks ii_20251114_1,Computer Networks II,Gewoon vak,2025-11-14 09:15:00,2025-11-14 12:30:00,32,24,0.75
2025-10-20,costing_20251020_1,Costing,Gewoon vak,2025-10-20 10:30:00,2025-10-20 12:30:00,26,19,0.7307692307692307
2025-10-27,costing_20251027_1,Costing,Gewoon vak,2025-10-27 10:30:00,2025-10-27 12:30:00,26,19,0.7307692307692307
2025-10-17,software analysis_20251017_1,Software Analysis,Gewoon vak,2025-10-17 10:30:00,2025-10-17 12:30:00,33,24,0.7272727272727273
2025-11-21,computer networks ii_20251121_1,Computer Networks II,Gewoon vak,2025-11-21 09:15:00,2025-11-21 12:30:00,32,23,0.71875
2025-10-24,computer networks ii_20251024_1,Computer Networks II,Gewoon vak,2025-10-24 09:15:00,2025-10-24 12:30:00,32,23,0.71875
2025-10-15,object oriented software development i_20251015_1,Object-oriented Software Development I,Gewoon vak,2025-10-15 09:15:00,2025-10-15 12:30:00,180,128,0.7111111111111111
2025-10-23,infrastructure automation_20251023_1,Infrastructure Automation,Gewoon vak,2025-10-23 10:30:00,2025-10-23 12:30:00,20,14,0.7
2025-10-31,computer networks ii_20251031_1,Computer Networks II,Gewoon vak,2025-10-31 09:15:00,2025-10-31 12:30:00,32,22,0.6875
2025-10-30,infrastructure automation_20251030_1,Infrastructure Automation,Gewoon vak,2025-10-30 10:30:00,2025-10-30 12:30:00,20,13,0.65
2025-10-16,infrastructure automation_20251016_1,Infrastructure Automation,Gewoon vak,2025-10-16 10:30:00,2025-10-16 12:30:00,20,13,0.65
2025-12-05,professional communication_20251205_1,Professional Communication,Gewoon vak,2025-12-05 10:30:00,2025-12-05 12:30:00,35,22,0.6285714285714286
2025-12-01,costing_20251201_1,Costing,Gewoon vak,2025-12-01 10:30:00,2025-12-01 12:30:00,26,16,0.6153846153846154
2025-12-10,infrastructure automation_20251210_1,Infrastructure Automation,Gewoon vak,2025-12-10 10:30:00,2025-12-10 12:30:00,23,14,0.6086956521739131
2025-11-07,software analysis_20251107_1,Software Analysis,Gewoon vak,2025-11-07 10:30:00,2025-11-07 12:30:00,33,20,0.6060606060606061
2025-10-27,professional communication_20251027_1,Professional Communication,Gewoon vak,2025-10-27 08:15:00,2025-10-27 12:30:00,110,66,0.6
2025-10-31,software analysis_20251031_1,Software Analysis,Gewoon vak,2025-10-31 10:30:00,2025-10-31 12:30:00,33,19,0.5757575757575758
2025-10-20,professional communication_20251020_1,Professional Communication,Gewoon vak,2025-10-20 08:15:00,2025-10-20 12:30:00,110,63,0.5727272727272728
2025-10-24,professional communication_20251024_1,Professional Communication,Gewoon vak,2025-10-24 10:30:00,2025-10-24 12:30:00,35,20,0.5714285714285714
2025-11-20,databases_20251120_2,Databases,Gewoon vak,2025-11-20 13:30:00,2025-11-20 16:45:00,35,20,0.5714285714285714
2025-11-03,professional communication_20251103_1,Professional Communication,Gewoon vak,2025-11-03 08:15:00,2025-11-03 12:30:00,110,61,0.5545454545454546
2025-10-30,databases_20251030_2,Databases,Gewoon vak,2025-10-30 13:30:00,2025-10-30 16:45:00,35,19,0.5428571428571428
2025-10-17,professional communication_20251017_1,Professional Communication,Gewoon vak,2025-10-17 10:30:00,2025-10-17 12:30:00,35,19,0.5428571428571428
2025-11-27,databases_20251127_2,Databases,Gewoon vak,2025-11-27 13:30:00,2025-11-27 16:45:00,35,19,0.5428571428571428
2025-12-12,functional analysis_20251212_1,Functional Analysis,Gewoon vak,2025-12-12 08:15:00,2025-12-12 12:30:00,77,41,0.5324675324675324
2025-10-15,it fundamentals_20251015_1,IT Fundamentals,Gewoon vak,2025-10-15 08:15:00,2025-10-15 12:30:00,98,52,0.5306122448979592
2026-02-12,communication lab_20260212_1,Communication Lab,Gewoon vak,2026-02-12 08:15:00,2026-02-12 10:15:00,51,27,0.5294117647058824
