FullDate,LectureID,ClassName,SubgroupCode,LessonType,TotalStudents,UserCount,AttendanceRate
2026-05-22,491118,Operating Systems,PBA-TIN-TI/1E,Gewoon vak,32,0,0.0
2025-09-23,387614,Classic Computer Science Algorithms,PBA-TIN-TI/2F,Gewoon vak,26,0,0.0
2025-09-23,387614,Classic Computer Science Algorithms,PBA-TIN-TI/VT/NET/S1,Gewoon vak,26,0,0.0
2025-09-23,395886,IT Fundamentals,PBA-TIN-TI/1B,Gewoon vak,31,0,0.0
2025-09-23,395886,IT Fundamentals,PBA-TIN-TI/VT/PROG/S1,Gewoon vak,31,0,0.0
2025-09-23,396357,Machine Learning Operations,PBA-TIN-TI/3C1,Gewoon vak,36,0,0.0
2025-09-23,394499,Relational Databases & Datawarehousing,PBA-TIN-TI/2B,Gewoon vak,11,0,0.0
2025-09-23,472102,Business analysis,PBA-TIN-TI/3A1,Gewoon vak,25,0,0.0
2025-09-23,472102,Business analysis,PBA-TIN-TI/3A2,Gewoon vak,25,0,0.0
2025-09-23,472066,Business analysis,PBA-TIN-TI/3B1,Gewoon vak,21,0,0.0
2026-05-20,427698,Machine Learning,PBA-TIN-TI/2E2,Gewoon vak,29,0,0.0
2026-05-20,424406,Operating Systems,PBA-TIN-TI/1B,Gewoon vak,29,0,0.0
2025-11-26,471459,IT Fundamentals,PBA-TIN-TI/1H,Gewoon vak,33,0,0.0
2025-11-26,384357,Relational Databases & Datawarehousing,PBA-TIN-TI/2D,Gewoon vak,7,0,0.0
2025-11-24,396285,Business analysis,PBA-TIN-TI/3A3,Gewoon vak,4,0,0.0
2026-06-12,494510,Advanced Software Development II,PBA-TIN-TI/2A3,Gewoon vak,26,0,0.0
2026-06-12,494510,Advanced Software Development II,PBA-TIN-TI/2A2,Gewoon vak,26,0,0.0
2025-09-22,381436,Object-oriented Software Development I,PBA-TIN-TI/1A,Gewoon vak,35,0,0.0
2025-09-22,394486,Professional Communication,PBA-TIN-TI/2A2,Gewoon vak,25,0,0.0
2025-09-22,387561,Professional Communication,PBA-TIN-TI/2E1,Gewoon vak,22,0,0.0
2025-09-22,387561,Professional Communication,PBA-TIN-TI/2F,Gewoon vak,22,0,0.0
2025-09-22,387561,Professional Communication,PBA-TIN-TI/VT/NET/S1,Gewoon vak,22,0,0.0
2025-09-22,394486,Professional Communication,PBA-TIN-TI/VT/PROG/S1,Gewoon vak,25,0,0.0
2025-09-22,396092,Costing,PBA-TIN-TI/2A1,Gewoon vak,22,0,0.0
2025-09-22,396092,Costing,PBA-TIN-TI/2B,Gewoon vak,22,0,0.0
2025-09-22,394526,Cybersecurity Advanced,PBA-TIN-TI/3B1,Gewoon vak,27,0,0.0
2025-09-22,426819,Discover the Mainframe,PBA-TIN-TI/3D,Gewoon vak,23,0,0.0
2025-09-22,395690,IT Fundamentals,PBA-TIN-TI/1D,Gewoon vak,35,0,0.0
2025-09-22,425432,IT Fundamentals,PBA-TIN-TI/1G,Gewoon vak,32,0,0.0
2025-09-22,395377,Professional Communication,PBA-TIN-TI/2C2,Gewoon vak,34,0,0.0
