LessonType,ClassName,SessionCount,ValidAttendanceRates,ExpectedStudentsSum,PresentStudentsSum,WeightedAttendanceRate,MeanAttendanceRate,MedianAttendanceRate,StandardDeviation,Variance,Minimum,Percentile10,Quartile1,Quartile3,Percentile90,Maximum,InterquartileRange,CoefficientOfVariation,MeanExpectedStudents,MedianExpectedStudents,MeanPresentStudents,MedianPresentStudents
Gewoon vak,Linux & Data Processing Automation,1.0,1.0,2.0,1.0,0.5,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,2.0,2.0,1.0,1.0
Gewoon vak,Infrastructure Automation,25.0,25.0,539.0,191.0,0.35435992578849723,0.3564347826086957,0.43478260869565216,0.2306657988845491,0.05320671077504726,0.0,0.0,0.2608695652173913,0.5,0.6334782608695653,0.7,0.2391304347826087,0.6471472766948803,21.56,23.0,7.64,9.0
Gewoon vak,Databases,25.0,25.0,1500.0,552.0,0.368,0.35254173067076294,0.4032258064516129,0.1775964149136631,0.031540486590185976,0.0,0.011428571428571439,0.2777777777777778,0.4777777777777778,0.5257142857142858,0.5714285714285714,0.2,0.503759979210857,60.0,35.0,22.08,20.0
Gewoon vak,Business & Management,36.0,36.0,7029.0,2005.0,0.2852468345426092,0.2911814108368485,0.3281844683780063,0.11478985444252093,0.013176710682935144,0.0,0.12119143049693186,0.2365702479338843,0.37024704713936085,0.40117729611726183,0.4528301886792453,0.13367679920547657,0.39422109437761704,195.25,233.0,55.69444444444444,55.5
Gewoon vak,Cybersecurity,13.0,13.0,1572.0,425.0,0.2703562340966921,0.25603756708407865,0.3023255813953488,0.12637342763812956,0.01597024321300957,0.0,0.05813953488372094,0.1937984496124031,0.3333333333333333,0.34728682170542635,0.40310077519379844,0.1395348837209302,0.4935737715263891,120.92307692307692,129.0,32.69230769230769,39.0
Gewoon vak,Functional Analysis,38.0,38.0,3165.0,835.0,0.2638230647709321,0.27139688236188547,0.2961165048543689,0.15426707398881145,0.02379833011706943,0.0,0.00679611650485437,0.15692219679633868,0.378136426680116,0.4473684210526316,0.5324675324675324,0.2212142298837773,0.5684187402827604,83.28947368421052,77.0,21.973684210526315,19.0
Gewoon vak,Object-oriented Software Development I,77.0,77.0,11338.0,3028.0,0.26706650202857646,0.26980666268236303,0.29533678756476683,0.11815738572506425,0.013961167801381616,0.0,0.03174751972502149,0.23684210526315788,0.3333333333333333,0.3585276917784658,0.7111111111111111,0.09649122807017543,0.43793353563017134,147.24675324675326,153.0,39.324675324675326,45.0
Gewoon vak,Software Analysis,38.0,38.0,1856.0,484.0,0.2607758620689655,0.2451221511723233,0.2858963466440102,0.20235263477807264,0.040946588801628055,0.0,0.0,0.0,0.36363636363636365,0.4515151515151519,0.7272727272727273,0.36363636363636365,0.8255175381347593,48.8421052631579,33.0,12.736842105263158,3.5
Gewoon vak,Web Development I,35.0,35.0,2412.0,590.0,0.24461028192371476,0.24429175753455418,0.2647058823529412,0.12770463041506205,0.016308472629447596,0.0,0.03773584905660381,0.18094564558496667,0.33003300330033003,0.38623751387347394,0.5217391304347826,0.14908735771536336,0.5227545607919198,68.91428571428571,53.0,16.857142857142858,17.0
Gewoon vak,Communication Lab,62.0,62.0,6454.0,1537.0,0.23814688565230865,0.239133808656404,0.2500814279200052,0.10789326161495319,0.011640955901912732,0.0,0.08066575467396261,0.17647058823529413,0.3081932773109244,0.3719230769230769,0.5294117647058824,0.13172268907563026,0.4511836374001724,104.09677419354838,119.0,24.79032258064516,21.0
