site_id,family,model,os,manufacture,ap_id,ssid,wlan_id,username,proto,band,vlan_id,key_mgmt,map_id,annotation,timestamp,assoc_time,rssi,snr,idle_time,tx_rate,rx_rate,tx_pkts,rx_pkts,tx_bytes,rx_bytes,tx_retries,rx_retries,tx_bps,rx_bps,x,y,x_m,y_m,num_locating_aps,uptime,last_seen,dual_band,is_guest,channel,DateKey,TimeKey
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd08223a,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_97ae702c94093ff9286809f8658d040f26a17f6f006b9f7d13bf08903c79077a,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:57:37,-44,49,1.0,573.5,6.0,8504,4678,15138063,739358,438,7,58566,19242,1723.2494806690777,528.59547827906,51.623943,15.835306,1,503,1763114760,True,False,124,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd0816a5,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_e702d206c63fc48910786bf77f3275e6dcd99e4b5dbc85a48102fef4e4bb2d25,ax,5,231,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:43:18,-55,38,1.0,433.3,24.0,22959,4037,6519483,879518,4218,688,16488,632,2451.655518051149,1221.8071660795265,72.29061,36.026752,1,1365,1763114763,True,False,52,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd0816a5,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_d18c868a8cbcba861d1cc7b3de28ecec1233bb04879eb728a1e732806d6df0ff,ax,5,231,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:55:37,-52,41,0.0,32.5,541.6,16333,10185,7892202,5170900,320,60,79507,62620,2576.3565383263817,1354.3015295667901,75.9676,39.93354,1,626,1763114763,True,False,52,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,,Apple,00000000-0000-0000-1000-3c94fd08424c,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_78b264e0265c7df5b00b7c1577f24c59a35f343851d5ed98e97e719b898e05e5,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T09:57:25,-62,31,1.0,195.0,24.0,8946,1828,2099781,234369,2800,736,24455,667,2691.3714529598506,1919.0532163730927,83.21738,59.33725,1,458,1763114703,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd08424c,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_a02ca1eb8a1f002a63057acbf12fd536c0274427ce1ab3ddf1a72c8be9ae5582,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T09:17:04,-52,41,0.0,270.8,24.0,55786,10577,27963706,1667075,9254,1986,14873,658,2640.2962044109677,2269.273503246352,81.63813,70.166084,1,2939,1763114763,True,False,44,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iPhone,,,Apple,00000000-0000-0000-1000-3c94fd0020d5,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_e7abff6a4a07866edfc6d4593ae0842498e22e7ab8d5b430f4a3085ae5c76175,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:33:41,-47,43,0.0,433.3,24.0,23839,12504,30166944,4115316,4077,958,11130,1679,1797.6118302931284,4043.3077420136146,53.85164,121.12668,1,1921,1763114742,False,False,36,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 10,Unknown,00000000-0000-0000-1000-3c94fd03f03e,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_d1e176ceaf5e744073a04d1b6f597d088b5f88d2423dddc3ea31c442a68a88da,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T09:19:25,-71,16,13.0,292.5,6.0,5990,7418,2079212,1365756,2961,878,0,0,2014.4516577858535,4185.488303843827,62.286976,129.41557,1,2799,1763114764,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 16,Unknown,00000000-0000-0000-1000-3c94fd03f03e,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_162cb3c5eb4b63b3ab5a018ffd218ae0773d94831dab775db9f5c9cb140834dd,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T09:25:19,-66,21,0.0,344.1,325.0,5686,4384,2309329,1160773,2311,523,1199,1683,2034.0112545047946,3965.088378369104,62.89176,122.60079,1,2445,1763114764,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Windows 10/11,Intel Corporate,00000000-0000-0000-1000-3c94fd0816a5,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_e702d206c63fc48910786bf77f3275e6dcd99e4b5dbc85a48102fef4e4bb2d25,ax,5,231,WPA3-EAP-SHA256/CCMP,e3ac87b6-42bd-4ccb-86e3-acdf737836cb,unknown,2025-11-14 11:15:00,2025-11-14T09:55:20,-49,44,0.0,573.5,6.0,17590,12885,5131589,6215231,237,621,140755,255414,2634.126130290797,1534.4897372678006,77.67102,45.24665,1,643,1763114763,True,False,52,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,,,Android 10,Unknown,00000000-0000-0000-1000-3c94fd082122,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_98ea58e0940236ec0ed254b7d9297af66a0755c87cd32efa8d946ee7e74857cc,ax,5,231,WPA3-EAP-SHA256/CCMP,d1c470f8-8ff8-4e3f-a599-1941246d140d,unknown,2025-11-14 11:15:00,2025-11-14T09:24:15,-58,35,0.0,458.8,6.0,37147,12602,29999968,1231297,6505,3487,41041,1774,1621.2292534453782,3353.030465908832,48.56769,100.44782,1,2506,1763114761,True,False,100,20251114,111500
c7206857-586f-460a-8ef9-a0f01963739b,iOS,,iOS,Apple,00000000-0000-0000-1000-3c94fd08424c,eduroam,f6f56648-82d3-4084-9d82-61552b2d8f9e,u_462688cd648cbdc0720edede00746fda0b727f85295bb651fffb42f458d9296a,ax,5,231,WPA3-EAP-SHA256/CCMP,bc1f090d-c367-4b20-ba23-2806d53b194c,unknown,2025-11-14 11:15:00,2025-11-14T10:05:22,-64,29,1.0,162.5,24.0,669,306,143961,74269,369,112,12420,333,1978.2746315228892,2224.3478536910266,61.16838,68.77698,1,41,1763114763,True,False,44,20251114,111500
